Mauchieu_15 ,Mauchieu_15 
52,105
54,128
55,171
57,214
59,266
61,283
63,329
64,483
66,593
67,685
69,871
71,1189
73,1288
75,1596
76,1836
78,2260
80,2961
82,3490
83,4087
85,4932
87,5922
88,7407
90,8745
92,9771
94,12650
96,14516
97,17320
99,20208
101,22614
103,24853
104,29812
106,35176
108,37519
110,43265
111,48968
113,55553
115,59835
117,67658
118,74114
120,80914
122,87849
124,95521
125,104827
127,112581
129,121744
130,131156
132,143083
134,152389
136,168526
138,183021
140,199977
141,215386
143,235062
145,258123
146,283476
148,307202
150,339053
152,367006
153,402332
155,437082
157,474906
159,514330
160,559202
162,604815
164,648477
166,697762
167,745229
169,796376
171,843295
173,892465
175,946503
176,989212
178,1037227
179,1074455
181,1116904
183,1163263
185,1193639
187,1234996
188,1258530
190,1288462
192,1315934
193,1331408
196,1353369
197,1365691
199,1374400
201,1388369
202,1394688
204,1394775
206,1394556
208,1392535
209,1385785
211,1381376
213,1364544
214,1354463
216,1338381
218,1321191
220,1297783
222,1278345
224,1262988
226,1233453
227,1205480
229,1178428
230,1152342
232,1120088
234,1089706
235,1055024
237,1020485
239,990123
241,953118
243,922949
244,885016
246,856271
248,818150
250,784862
251,753808
253,721289
255,688441
257,660296
259,633012
260,608022
262,581797
263,563393
265,541910
267,523613
269,508607
271,492845
272,481789
274,469128
276,457052
277,450259
279,442210
281,434141
283,428052
285,421104
286,415506
288,407920
290,401154
292,393936
294,388318
295,381701
297,374891
298,366220
300,358718
302,352898
304,342852
306,334524
307,329336
310,324390
312,317071
313,313490
314,305416
316,300296
317,294763
319,292817
321,287049
323,284475
325,279754
327,278846
329,275516
330,270749
332,267155
333,265899
335,264381
337,262293
339,259468
341,254528
343,255343
345,252477
346,251474
347,247856
349,245681
351,242667
353,237013
354,233921
356,231746
358,225582
360,221998
361,215660
363,209546
365,204428
367,202110
369,194306
370,190344
372,186439
374,179741
376,173800
377,170743
379,168375
380,162606
382,158995
384,155567
386,153338
388,150078
390,148120
392,145051
394,143547
395,141031
396,138548
398,136648
400,138491
