Mauchieu_16,Mauchieu_16,Mauchieu_17,Mauchieu_17,Mauchieu_18,Mauchieu_18
52,86,52,107,52,132
54,109,53,166,53,134
55,120,55,198,55,148
57,184,57,216,57,167
59,174,59,278,59,248
61,320,61,369,61,301
63,310,63,437,63,404
64,487,64,480,64,480
66,442,66,560,66,552
67,760,67,651,67,670
69,723,69,877,69,774
71,908,71,1083,71,956
73,1107,73,1355,73,1164
75,1293,75,1654,75,1428
76,1703,76,1886,77,1957
78,1916,78,2405,78,2153
80,2775,80,3188,80,2762
82,3104,82,3463,82,3473
83,4030,83,4166,83,4421
85,4735,85,5057,85,4861
87,5867,87,6041,87,5785
88,6939,88,7498,89,6812
90,7915,91,9003,90,8225
92,9100,92,10243,92,9513
94,11667,94,12641,94,11541
96,13853,96,14578,96,13639
97,15534,97,16897,97,16197
99,18152,99,19838,99,19135
101,21140,101,22155,101,21302
103,23894,103,26033,103,24994
104,28401,104,29811,104,28652
106,32248,106,33095,106,32890
108,36365,108,38874,108,36235
109,40902,109,44874,110,41035
111,46695,111,48953,111,47086
113,51475,113,55784,113,52879
115,57964,115,61891,115,58748
117,63754,117,68512,117,64394
118,70936,118,75982,118,71643
120,77516,120,81472,120,79274
122,84039,122,90720,122,87650
124,91907,124,96958,124,92467
125,99953,125,106186,125,101948
127,108660,127,113964,127,111381
129,115025,129,124463,129,119067
130,125542,131,135137,130,130779
132,135701,132,146599,132,139878
134,146148,134,158536,134,152406
136,161809,136,172141,136,166227
138,174143,138,187939,138,179029
139,189440,140,204426,140,196407
141,206752,141,223217,141,212510
143,226417,144,244758,143,233196
145,246067,145,265102,145,253069
146,272246,146,290744,146,279160
148,293875,148,319798,148,304500
150,323356,150,344128,150,332150
151,352332,151,378536,151,363586
153,384144,153,410843,153,394510
155,417832,155,452776,155,430910
157,456179,157,492001,157,467934
159,496009,159,531813,159,512059
160,534487,160,579922,160,551788
162,579713,162,624580,162,595233
164,627022,164,671744,164,645778
166,665585,166,719040,166,690728
167,717144,167,768205,167,739511
169,763617,169,823276,169,783876
171,811228,171,866414,171,830657
173,860160,173,918982,173,889179
175,909432,174,973544,174,930285
176,952376,176,1019596,176,976236
178,996535,178,1069340,178,1023691
179,1047118,179,1111772,179,1067416
181,1079417,181,1153462,181,1107002
183,1122808,183,1193788,183,1143814
185,1156094,185,1231723,185,1183698
187,1191295,187,1265416,187,1216842
188,1226220,188,1308267,188,1243137
190,1249253,190,1327134,190,1278504
192,1283567,192,1356445,192,1304432
194,1294708,193,1381491,193,1324083
195,1317746,195,1390232,195,1338572
197,1334074,197,1411524,197,1358660
199,1347973,199,1427009,199,1370121
201,1354157,201,1433765,201,1374640
202,1361468,202,1440394,202,1382409
204,1363323,204,1439402,204,1384539
206,1364766,206,1436874,206,1385154
208,1365111,208,1438521,208,1382785
209,1357223,209,1429791,209,1378928
211,1351130,211,1425078,210,1368200
213,1339174,213,1407490,212,1361925
214,1334179,214,1404446,214,1351643
216,1312547,216,1383760,216,1334226
218,1299962,218,1361965,218,1315875
220,1286530,220,1348130,220,1302240
222,1267795,222,1331273,222,1272643
224,1240331,224,1308796,224,1253384
226,1213309,225,1282517,226,1228085
227,1194534,228,1260154,227,1209957
229,1174260,229,1236283,229,1182399
230,1140936,230,1205350,230,1150440
232,1116095,232,1180863,232,1117147
234,1085621,234,1150127,234,1090505
235,1060444,235,1119406,235,1066839
237,1028067,237,1089951,237,1032781
239,1002838,239,1058687,239,1005545
241,965582,241,1025229,241,970616
243,941698,243,991805,243,941591
244,905521,244,962788,244,911504
246,875722,247,929600,246,875288
248,845821,248,895511,248,850267
250,811968,250,861488,250,814363
251,783303,251,832101,251,781976
253,754023,253,800548,253,760800
255,723022,255,768130,255,730530
256,692590,257,741952,257,706567
259,663413,259,718802,259,684926
260,638586,260,692128,261,661082
262,619138,263,670940,262,642439
264,594414,264,649752,263,618143
265,570809,265,633275,265,602101
267,552401,267,610957,267,585689
269,540676,269,599914,269,574109
271,522399,271,582246,271,557900
272,510398,272,569384,272,545403
274,496807,274,560390,274,537057
276,482834,276,552328,276,526212
278,475210,278,543593,278,521055
279,466411,279,535145,279,516761
281,461558,281,525914,281,513228
283,453416,283,522486,283,505735
285,449402,284,515897,285,499675
286,441381,286,508651,286,497615
288,435673,288,506279,288,492047
290,429454,290,500041,290,489656
292,423570,292,494106,292,482370
293,417575,294,484430,293,476071
294,408192,295,478548,295,470102
298,402785,297,469472,297,464933
298,395214,298,462339,298,458895
300,386388,300,453480,300,450401
