Mauchieu_17,Mauchieu_17,Mauchieu_18,Mauchieu_18
52,107,52,132
53,166,53,134
55,198,55,148
57,216,57,167
59,278,59,248
61,369,61,301
63,437,63,404
64,480,64,480
66,560,66,552
67,651,67,670
69,877,69,774
71,1083,71,956
73,1355,73,1164
75,1654,75,1428
76,1886,77,1957
78,2405,78,2153
80,3188,80,2762
82,3463,82,3473
83,4166,83,4421
85,5057,85,4861
87,6041,87,5785
88,7498,89,6812
91,9003,90,8225
92,10243,92,9513
94,12641,94,11541
96,14578,96,13639
97,16897,97,16197
99,19838,99,19135
101,22155,101,21302
103,26033,103,24994
104,29811,104,28652
106,33095,106,32890
108,38874,108,36235
109,44874,110,41035
111,48953,111,47086
113,55784,113,52879
115,61891,115,58748
117,68512,117,64394
118,75982,118,71643
120,81472,120,79274
122,90720,122,87650
124,96958,124,92467
125,106186,125,101948
127,113964,127,111381
129,124463,129,119067
131,135137,130,130779
132,146599,132,139878
134,158536,134,152406
136,172141,136,166227
138,187939,138,179029
140,204426,140,196407
141,223217,141,212510
144,244758,143,233196
145,265102,145,253069
146,290744,146,279160
148,319798,148,304500
150,344128,150,332150
151,378536,151,363586
153,410843,153,394510
155,452776,155,430910
157,492001,157,467934
159,531813,159,512059
160,579922,160,551788
162,624580,162,595233
164,671744,164,645778
166,719040,166,690728
167,768205,167,739511
169,823276,169,783876
171,866414,171,830657
173,918982,173,889179
174,973544,174,930285
176,1019596,176,976236
178,1069340,178,1023691
179,1111772,179,1067416
181,1153462,181,1107002
183,1193788,183,1143814
185,1231723,185,1183698
187,1265416,187,1216842
188,1308267,188,1243137
190,1327134,190,1278504
192,1356445,192,1304432
193,1381491,193,1324083
195,1390232,195,1338572
197,1411524,197,1358660
199,1427009,199,1370121
201,1433765,201,1374640
202,1440394,202,1382409
204,1439402,204,1384539
206,1436874,206,1385154
208,1438521,208,1382785
209,1429791,209,1378928
211,1425078,210,1368200
213,1407490,212,1361925
214,1404446,214,1351643
216,1383760,216,1334226
218,1361965,218,1315875
220,1348130,220,1302240
222,1331273,222,1272643
224,1308796,224,1253384
225,1282517,226,1228085
228,1260154,227,1209957
229,1236283,229,1182399
230,1205350,230,1150440
232,1180863,232,1117147
234,1150127,234,1090505
235,1119406,235,1066839
237,1089951,237,1032781
239,1058687,239,1005545
241,1025229,241,970616
243,991805,243,941591
244,962788,244,911504
247,929600,246,875288
248,895511,248,850267
250,861488,250,814363
251,832101,251,781976
253,800548,253,760800
255,768130,255,730530
257,741952,257,706567
259,718802,259,684926
260,692128,261,661082
263,670940,262,642439
264,649752,263,618143
265,633275,265,602101
267,610957,267,585689
269,599914,269,574109
271,582246,271,557900
272,569384,272,545403
274,560390,274,537057
276,552328,276,526212
278,543593,278,521055
279,535145,279,516761
281,525914,281,513228
283,522486,283,505735
284,515897,285,499675
286,508651,286,497615
288,506279,288,492047
290,500041,290,489656
292,494106,292,482370
294,484430,293,476071
295,478548,295,470102
297,469472,297,464933
298,462339,298,458895
300,453480,300,450401
302,443391,302,442426
304,434612,304,441472
306,425308,306,426602
307,418391,308,424518
310,404029,310,416736
311,396846,312,410253
313,392095,313,407003
314,385669,314,402760
316,378303,316,396234
318,369081,318,391892
320,365652,319,389607
321,360372,321,384697
323,356420,323,378828
325,352687,325,380172
326,348260,326,376288
328,346125,329,373883
330,343520,330,369212
332,340649,332,368396
333,337539,333,365217
335,337967,335,363802
337,334324,337,359424
339,334366,339,359114
341,332944,341,355754
343,331025,343,358142
344,329984,344,352932
346,326528,346,349303
347,322546,347,341620
349,321424,349,338402
351,317465,351,331190
353,312084,353,324849
354,307709,354,319528
356,303592,356,310234
358,299101,358,306124
360,291790,360,295270
361,283117,362,287748
363,277333,363,281375
365,271009,365,271886
367,262550,367,264505
369,255279,368,254269
370,248879,370,247244
372,239727,372,238081
374,231297,374,232138
376,226391,375,222218
377,219840,378,216412
378,209865,379,210470
380,203439,382,203613
382,199563,382,199059
384,196042,384,192644
386,188311,386,190877
388,183918,388,184742
390,180807,390,179675
391,174264,391,177994
393,173651,394,173613
396,167172,395,170044
396,162809,397,168647
398,159740,398,167360
400,157624,400,165624
