Mauchieu_18,Mauchieu_18
52,132
53,134
55,148
57,167
59,248
61,301
63,404
64,480
66,552
67,670
69,774
71,956
73,1164
75,1428
77,1957
78,2153
80,2762
82,3473
83,4421
85,4861
87,5785
89,6812
90,8225
92,9513
94,11541
96,13639
97,16197
99,19135
101,21302
103,24994
104,28652
106,32890
108,36235
110,41035
111,47086
113,52879
115,58748
117,64394
118,71643
120,79274
122,87650
124,92467
125,101948
127,111381
129,119067
130,130779
132,139878
134,152406
136,166227
138,179029
140,196407
141,212510
143,233196
145,253069
146,279160
148,304500
150,332150
151,363586
153,394510
155,430910
157,467934
159,512059
160,551788
162,595233
164,645778
166,690728
167,739511
169,783876
171,830657
173,889179
174,930285
176,976236
178,1023691
179,1067416
181,1107002
183,1143814
185,1183698
187,1216842
188,1243137
190,1278504
192,1304432
193,1324083
195,1338572
197,1358660
199,1370121
201,1374640
202,1382409
204,1384539
206,1385154
208,1382785
209,1378928
210,1368200
212,1361925
214,1351643
216,1334226
218,1315875
220,1302240
222,1272643
224,1253384
226,1228085
227,1209957
229,1182399
230,1150440
232,1117147
234,1090505
235,1066839
237,1032781
239,1005545
241,970616
243,941591
244,911504
246,875288
248,850267
250,814363
251,781976
253,760800
255,730530
257,706567
259,684926
261,661082
262,642439
263,618143
265,602101
267,585689
269,574109
271,557900
272,545403
274,537057
276,526212
278,521055
279,516761
281,513228
283,505735
285,499675
286,497615
288,492047
290,489656
292,482370
293,476071
295,470102
297,464933
298,458895
300,450401
302,442426
304,441472
306,426602
308,424518
310,416736
312,410253
313,407003
314,402760
316,396234
318,391892
319,389607
321,384697
323,378828
325,380172
326,376288
329,373883
330,369212
332,368396
333,365217
335,363802
337,359424
339,359114
341,355754
343,358142
344,352932
346,349303
347,341620
349,338402
351,331190
353,324849
354,319528
356,310234
358,306124
360,295270
362,287748
363,281375
365,271886
367,264505
368,254269
370,247244
372,238081
374,232138
375,222218
378,216412
379,210470
382,203613
382,199059
384,192644
386,190877
388,184742
390,179675
391,177994
394,173613
395,170044
397,168647
398,167360
400,165624
